rank;rank_w;institution;link;institution_2;score;authors;author_shares;from_url
---;[---];Dipartimento di Economia "Ettore Bocconi", Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/debocit.html;Dipartimento di Economia "Ettore Bocconi", Università Commerciale Luigi Bocconi;13.65;33;21.62;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Finanza, Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/iabocit.html;Dipartimento di Finanza, Università Commerciale Luigi Bocconi;14.14;24;19.28;http://ideas.repec.org/top/top.italy.html;
11;[11];Dipartimento di Economia, Università Ca' Foscari VeneziaVenezia, Italy;http://edirc.repec.org/data/dsvenit.html;Dipartimento di Economia, Università Ca' Foscari Venezia;14.47;69;50.92;http://ideas.repec.org/top/top.italy.html;
12;[12];Laboratory of Economics and Management (LEM), Scuola Superiore Sant'AnnaPisa, Italy;http://edirc.repec.org/data/labssit.html;Laboratory of Economics and Management (LEM), Scuola Superiore Sant'Anna;14.56;36;26.11;http://ideas.repec.org/top/top.italy.html;
13;[13];Dipartimento di Scienze Economiche "Marco Fanno", Università degli Studi di PadovaPadova, Italy;http://edirc.repec.org/data/dspadit.html;Dipartimento di Scienze Economiche "Marco Fanno", Università degli Studi di Padova;15.34;40;37.13;http://ideas.repec.org/top/top.italy.html;
14;[14];Joint Research Centre, European CommissionIspra, Italy;http://edirc.repec.org/data/eejrcit.html;Joint Research Centre, European Commission;15.81;73;69.17;http://ideas.repec.org/top/top.italy.html;
15;[15];Collegio Carlo Alberto, Università degli Studi di TorinoMoncalieri, Italy;http://edirc.repec.org/data/fccaait.html;Collegio Carlo Alberto, Università degli Studi di Torino;16.39;59;23.26;http://ideas.repec.org/top/top.italy.html;
16;[16];Facoltà di Economia "Giorgio Fuà", Università Politecnica delle MarcheAncona, Italy;http://edirc.repec.org/data/feancit.html;Facoltà di Economia "Giorgio Fuà", Università Politecnica delle Marche;17.95;56;44.73;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Economia e Finanza, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro CuoreMilano, Italy;http://edirc.repec.org/data/iecatit.html;Dipartimento di Economia e Finanza, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore;19.03;35;31.67;http://ideas.repec.org/top/top.italy.html;
17;[17];Dipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS)Roma, Italy;http://edirc.repec.org/data/deluiit.html;Dipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS);20.07;37;28.36;http://ideas.repec.org/top/top.italy.html;
18;[18];Scuola di Economia e Statistica, Università degli Studi di Milano-BicoccaMilano, Italy;http://edirc.repec.org/data/femibit.html;Scuola di Economia e Statistica, Università degli Studi di Milano-Bicocca;21.62;48;41.44;http://ideas.repec.org/top/top.italy.html;
19;[19];Rimini Centre for Economic Analysis (RCEA)Rimini, Italy;http://edirc.repec.org/data/rcfeait.html;Rimini Centre for Economic Analysis (RCEA);22.76;86;14.06;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Economia, Metodi Quantitativi e Strategie d'Impresa (DEMS), Scuola di Economia e Statistica, Università degli Studi di Milano-BicoccaMilano, Italy;http://edirc.repec.org/data/dpmibit.html;Dipartimento di Economia, Metodi Quantitativi e Strategie d'Impresa (DEMS), Scuola di Economia e Statistica, Università degli Studi di Milano-Bicocca;23.98;41;34.44;http://ideas.repec.org/top/top.italy.html;
20;[20];Dipartimento di Economia "Marco Biagi", Università degli Studi di Modena e Reggio EmiliaModena, Italy;http://edirc.repec.org/data/demodit.html;Dipartimento di Economia "Marco Biagi", Università degli Studi di Modena e Reggio Emilia;24.32;44;36.23;http://ideas.repec.org/top/top.italy.html;
21;[21];Robert Schuman Centre for Advanced Studies (RSCAS), European University InstituteFirenze, Italy;http://edirc.repec.org/data/rsiueit.html;Robert Schuman Centre for Advanced Studies (RSCAS), European University Institute;25.81;19;11.81;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Scienze Economiche e Sociali, Facoltà di Economia "Giorgio Fuà", Università Politecnica delle MarcheAncona, Italy;http://edirc.repec.org/data/deancit.html;Dipartimento di Scienze Economiche e Sociali, Facoltà di Economia "Giorgio Fuà", Università Politecnica delle Marche;26.96;48;38.97;http://ideas.repec.org/top/top.italy.html;
22;[22];Facoltà di Economia, Università degli Studi di VeronaVerona, Italy;http://edirc.repec.org/data/feverit.html;Facoltà di Economia, Università degli Studi di Verona;28.75;47;41.29;http://ideas.repec.org/top/top.italy.html;
23;[23];Dipartimento di Scienze per l'Economia e l'Impresa, Università degli Studi di FirenzeFirenze, Italy;http://edirc.repec.org/data/defirit.html;Dipartimento di Scienze per l'Economia e l'Impresa, Università degli Studi di Firenze;29.65;45;40.43;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Scienze Economiche, Facoltà di Economia, Università degli Studi di VeronaVerona, Italy;http://edirc.repec.org/data/isverit.html;Dipartimento di Scienze Economiche, Facoltà di Economia, Università degli Studi di Verona;30.47;46;41.37;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Analisi delle Politiche e Management Pubblico, Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/dpbocit.html;Dipartimento di Analisi delle Politiche e Management Pubblico, Università Commerciale Luigi Bocconi;31.74;16;9.69;http://ideas.repec.org/top/top.italy.html;
24;[24];Dipartimento di Scienze Economico-Sociali e Matematico-Statistiche, Università degli Studi di TorinoTorino, Italy;http://edirc.repec.org/data/dstorit.html;Dipartimento di Scienze Economico-Sociali e Matematico-Statistiche, Università degli Studi di Torino;31.76;26;17.25;http://ideas.repec.org/top/top.italy.html;
25;[26];Centro Ricerche Nord Sud (CRENoS)Italy;http://edirc.repec.org/data/crenoit.html;Centro Ricerche Nord Sud (CRENoS);33.4;42;22.01;http://ideas.repec.org/top/top.italy.html;
26;[25];Facoltà di Economia, "Sapienza" Università di RomaRoma, Italy;http://edirc.repec.org/data/ferosit.html;Facoltà di Economia, "Sapienza" Università di Roma;33.57;49;45.78;http://ideas.repec.org/top/top.italy.html;
27;[28];Facoltà di Economia / Wirtschaftswissenschaftliche Fakutät, Libera Università di Bolzano / Freie Universität BozenBozen-Bolzano, Italy;http://edirc.repec.org/data/feubzit.html;Facoltà di Economia / Wirtschaftswissenschaftliche Fakutät, Libera Università di Bolzano / Freie Universität Bozen;34.37;15;13.77;http://ideas.repec.org/top/top.italy.html;
28;[27];Fondazione ENI Enrico Mattei (FEEM)Milano, Italy;http://edirc.repec.org/data/feemmit.html;Fondazione ENI Enrico Mattei (FEEM);35.61;38;29.56;http://ideas.repec.org/top/top.italy.html;
29;[30];Dipartimento di Economia, Università degli Studi Roma TreRoma, Italy;http://edirc.repec.org/data/dero3it.html;Dipartimento di Economia, Università degli Studi Roma Tre;35.96;49;41.55;http://ideas.repec.org/top/top.italy.html;
30;[29];Dipartimento di Economia e Management, Università degli Studi di BresciaBrescia, Italy;http://edirc.repec.org/data/febreit.html;Dipartimento di Economia e Management, Università degli Studi di Brescia;36.83;21;20;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Economia e Diritto, Facoltà di Economia, "Sapienza" Università di RomaRoma, Italy;http://edirc.repec.org/data/dprosit.html;Dipartimento di Economia e Diritto, Facoltà di Economia, "Sapienza" Università di Roma;39.39;34;30.58;http://ideas.repec.org/top/top.italy.html;
---;[---];Knowledge, Internationalization and Technology Studies (KITeS/CESPRI), Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/cebocit.html;Knowledge, Internationalization and Technology Studies (KITeS/CESPRI), Università Commerciale Luigi Bocconi;39.74;12;5.77;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Scienze delle Decisioni, Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/ddbocit.html;Dipartimento di Scienze delle Decisioni, Università Commerciale Luigi Bocconi;42.87;8;4.7;http://ideas.repec.org/top/top.italy.html;
31;[31];Dipartimento di Economia e Management, Università degli Studi di TrentoTrento, Italy;http://edirc.repec.org/data/detreit.html;Dipartimento di Economia e Management, Università degli Studi di Trento;44.2;26;21.16;http://ideas.repec.org/top/top.italy.html;
32;[33];Dipartimento di Politiche Pubbliche e Scelte Collettive (POLIS), Università del Piemonte Orientale "Amedeo Avogadro"Alessandria, Italy;http://edirc.repec.org/data/dppmnit.html;Dipartimento di Politiche Pubbliche e Scelte Collettive (POLIS), Università del Piemonte Orientale "Amedeo Avogadro";44.23;22;19.44;http://ideas.repec.org/top/top.italy.html;
---;[---];Dipartimento di Scienze Economiche, Dipartimento di Economia e Management, Università degli Studi di BresciaBrescia, Italy;http://edirc.repec.org/data/dsbreit.html;Dipartimento di Scienze Economiche, Dipartimento di Economia e Management, Università degli Studi di Brescia;44.26;13;11.11;http://ideas.repec.org/top/top.italy.html;
33;[37];Dipartimento di Statistica, Informatica, Applicazioni "G. Parenti", Università degli Studi di FirenzeFirenze, Italy;http://edirc.repec.org/data/dsfirit.html;Dipartimento di Statistica, Informatica, Applicazioni "G. Parenti", Università degli Studi di Firenze;45.81;16;13.75;http://ideas.repec.org/top/top.italy.html;
34;[34];Dipartimento di Scienze Economiche, Statistiche e Finanziarie, Università della CalabriaArcavacata di Rende, Italy;http://edirc.repec.org/data/decalit.html;Dipartimento di Scienze Economiche, Statistiche e Finanziarie, Università della Calabria;46.29;13;11.45;http://ideas.repec.org/top/top.italy.html;
35;[32];Dipartimento di Ingegneria Gestionale, Politecnico di MilanoMilano, Italy;http://edirc.repec.org/data/dipomit.html;Dipartimento di Ingegneria Gestionale, Politecnico di Milano;46.31;15;14.04;http://ideas.repec.org/top/top.italy.html;
36;[36];Dipartimento di Scienze Economiche e Aziendali, Università degli Studi di PaviaPavia, Italy;http://edirc.repec.org/data/dppavit.html;Dipartimento di Scienze Economiche e Aziendali, Università degli Studi di Pavia;48.88;24;20.27;http://ideas.repec.org/top/top.italy.html;
37;[40];Centre for Household, Income, Labour and Demographic Economics (CHILD)Torino, Italy;http://edirc.repec.org/data/childit.html;Centre for Household, Income, Labour and Demographic Economics (CHILD);48.99;24;8.06;http://ideas.repec.org/top/top.italy.html;
38;[35];Facoltà di Economia, Università degli Studi di UrbinoUrbino, Italy;http://edirc.repec.org/data/feurbit.html;Facoltà di Economia, Università degli Studi di Urbino;49;23;21.42;http://ideas.repec.org/top/top.italy.html;
39;[38];Dipartimento di Economia, Università degli Studi di PerugiaPerugia, Italy;http://edirc.repec.org/data/deperit.html;Dipartimento di Economia, Università degli Studi di Perugia;51.5;22;19.1;http://ideas.repec.org/top/top.italy.html;
40;[39];Dipartimento di Economia e Management, Università degli Studi di PisaPisa, Italy;http://edirc.repec.org/data/dspisit.html;Dipartimento di Economia e Management, Università degli Studi di Pisa;51.64;22;16.03;http://ideas.repec.org/top/top.italy.html;
41;[41];Dipartimento di Scienze Sociali ed Economiche, "Sapienza" Università di RomaRoma, Italy;http://edirc.repec.org/data/dtrosit.html;Dipartimento di Scienze Sociali ed Economiche, "Sapienza" Università di Roma;51.83;20;18.09;http://ideas.repec.org/top/top.italy.html;
42;[43];Dipartimento di Scienze Aziendali, Economiche e Metodi Quatitativi, Università degli Studi di BergamoBergamo, Italy;http://edirc.repec.org/data/deberit.html;Dipartimento di Scienze Aziendali, Economiche e Metodi Quatitativi, Università degli Studi di Bergamo;53.07;14;12.23;http://ideas.repec.org/top/top.italy.html;
43;[42];Dipartimento di Scienze Economiche, Aziendali e Statistiche, Università degli Studi di PalermoPalermo, Italy;http://edirc.repec.org/data/ispalit.html;Dipartimento di Scienze Economiche, Aziendali e Statistiche, Università degli Studi di Palermo;53.25;13;11.98;http://ideas.repec.org/top/top.italy.html;
44;[46];Centro Studi Luca d'Agliano (Ld'A)Milano/Torino, Italy;http://edirc.repec.org/data/csldait.html;Centro Studi Luca d'Agliano (Ld'A);53.96;34;4.31;http://ideas.repec.org/top/top.italy.html;
---;[---];Istituto di Politica Economica, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro CuoreMilano, Italy;http://edirc.repec.org/data/ipcatit.html;Istituto di Politica Economica, Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore;54.57;9;8.9;http://ideas.repec.org/top/top.italy.html;
45;[45];Dipartimento di Scienze Statistiche "Paolo Fortunati", Alma Mater Studiorum - Università di BolognaBologna, Italy;http://edirc.repec.org/data/dsbolit.html;Dipartimento di Scienze Statistiche "Paolo Fortunati", Alma Mater Studiorum - Università di Bologna;55.02;23;21.9;http://ideas.repec.org/top/top.italy.html;
---;[---];Istituto di Economia Politica "Ettore Bocconi", Università Commerciale Luigi BocconiMilano, Italy;http://edirc.repec.org/data/iebocit.html;Istituto di Economia Politica "Ettore Bocconi", Università Commerciale Luigi Bocconi;55.45;6;4.32;http://ideas.repec.org/top/top.italy.html;
46;[44];Dipartimento di Scienze Economiche e Statistiche (DISES), Università degli Studi di SalernoFisciano, Italy;http://edirc.repec.org/data/dssalit.html;Dipartimento di Scienze Economiche e Statistiche (DISES), Università degli Studi di Salerno;56.24;38;26.46;http://ideas.repec.org/top/top.italy.html;
47;[48];Fondazione Rodolfo DEBENEDETTI (fRDB)Milano, Italy;http://edirc.repec.org/data/rdbubit.html;Fondazione Rodolfo DEBENEDETTI (fRDB);57.68;14;3.29;http://ideas.repec.org/top/top.italy.html;
48;[47];Istituto Nazionale di Statistica (ISTAT)Italy;http://edirc.repec.org/data/istgvit.html;Istituto Nazionale di Statistica (ISTAT);59.93;34;29.73;http://ideas.repec.org/top/top.italy.html;
